회원번호,오전,오후,저녁,총방문수,오전방문율,오후방문율,저녁방문율
18764160,0.0,2.0,0.0,2.0,0.0,1.0,0.0
20235968,1.0,3.0,5.0,9.0,0.11,0.33,0.56
20258240,0.0,1.0,0.0,1.0,0.0,1.0,0.0
20588608,14.0,52.0,45.0,111.0,0.13,0.47,0.41
22259008,0.0,1.0,7.0,8.0,0.0,0.12,0.88
26355200,19.0,35.0,6.0,60.0,0.32,0.58,0.1
26676288,0.0,1.0,0.0,1.0,0.0,1.0,0.0
28394944,10.0,13.0,8.0,31.0,0.32,0.42,0.26
29658880,0.0,0.0,1.0,1.0,0.0,0.0,1.0
31691200,2.0,15.0,16.0,33.0,0.06,0.45,0.48
37314880,0.0,1.0,0.0,1.0,0.0,1.0,0.0
38808960,3.0,12.0,16.0,31.0,0.1,0.39,0.52
38842368,4.0,8.0,2.0,14.0,0.29,0.57,0.14
38918464,4.0,6.0,0.0,10.0,0.4,0.6,0.0
39382464,2.0,0.0,0.0,2.0,1.0,0.0,0.0
40124864,0.0,1.0,1.0,2.0,0.0,0.5,0.5
41754432,1.0,6.0,1.0,8.0,0.12,0.75,0.12
41837952,0.0,0.0,1.0,1.0,0.0,0.0,1.0
42474560,6.0,34.0,16.0,56.0,0.11,0.61,0.29
43426688,1.0,5.0,1.0,7.0,0.14,0.71,0.14
43872128,0.0,3.0,0.0,3.0,0.0,1.0,0.0
45022848,3.0,1.0,0.0,4.0,0.75,0.25,0.0
46038080,0.0,1.0,0.0,1.0,0.0,1.0,0.0
46056640,0.0,1.0,0.0,1.0,0.0,1.0,0.0
46568896,1.0,7.0,4.0,12.0,0.08,0.58,0.33
46752640,0.0,1.0,0.0,1.0,0.0,1.0,0.0
47663936,0.0,1.0,0.0,1.0,0.0,1.0,0.0
48398912,1.0,0.0,0.0,1.0,1.0,0.0,0.0
48638336,0.0,1.0,0.0,1.0,0.0,1.0,0.0
48859200,0.0,0.0,1.0,1.0,0.0,0.0,1.0
51142080,0.0,14.0,3.0,17.0,0.0,0.82,0.18
51897472,1.0,0.0,0.0,1.0,1.0,0.0,0.0
52821760,11.0,5.0,0.0,16.0,0.69,0.31,0.0
53367424,18.0,32.0,6.0,56.0,0.32,0.57,0.11
53432384,18.0,10.0,8.0,36.0,0.5,0.28,0.22
54256448,0.0,4.0,0.0,4.0,0.0,1.0,0.0
54616512,1.0,5.0,1.0,7.0,0.14,0.71,0.14
55947264,0.0,1.0,0.0,1.0,0.0,1.0,0.0
56530048,0.0,4.0,2.0,6.0,0.0,0.67,0.33
56576448,0.0,5.0,15.0,20.0,0.0,0.25,0.75
57105408,0.0,1.0,0.0,1.0,0.0,1.0,0.0
57272448,0.0,1.0,0.0,1.0,0.0,1.0,0.0
57727168,0.0,1.0,2.0,3.0,0.0,0.33,0.67
58484416,11.0,31.0,31.0,73.0,0.15,0.42,0.42
59759488,0.0,6.0,2.0,8.0,0.0,0.75,0.25
59774336,0.0,2.0,0.0,2.0,0.0,1.0,0.0
60314432,0.0,1.0,0.0,1.0,0.0,1.0,0.0
61652608,2.0,4.0,0.0,6.0,0.33,0.67,0.0
62261376,14.0,29.0,5.0,48.0,0.29,0.6,0.1
62326336,0.0,0.0,1.0,1.0,0.0,0.0,1.0
62341184,12.0,21.0,9.0,42.0,0.29,0.5,0.21
62426560,0.0,1.0,0.0,1.0,0.0,1.0,0.0
62688256,0.0,1.0,0.0,1.0,0.0,1.0,0.0
62716096,0.0,0.0,1.0,1.0,0.0,0.0,1.0
63967040,11.0,6.0,0.0,17.0,0.65,0.35,0.0
64306688,27.0,41.0,8.0,76.0,0.36,0.54,0.11
64330816,0.0,0.0,1.0,1.0,0.0,0.0,1.0
64483008,0.0,1.0,3.0,4.0,0.0,0.25,0.75
64586944,4.0,3.0,1.0,8.0,0.5,0.38,0.12
64861632,0.0,2.0,0.0,2.0,0.0,1.0,0.0
65888000,2.0,12.0,2.0,16.0,0.12,0.75,0.12
65900992,0.0,1.0,1.0,2.0,0.0,0.5,0.5
65906560,0.0,1.0,0.0,1.0,0.0,1.0,0.0
66053184,1.0,0.0,0.0,1.0,1.0,0.0,0.0
67109248,3.0,3.0,2.0,8.0,0.38,0.38,0.25
67202048,0.0,1.0,0.0,1.0,0.0,1.0,0.0
67563968,0.0,1.0,0.0,1.0,0.0,1.0,0.0
67987136,11.0,26.0,10.0,47.0,0.23,0.55,0.21
68506816,2.0,9.0,0.0,11.0,0.18,0.82,0.0
69319744,1.0,1.0,0.0,2.0,0.5,0.5,0.0
69403264,7.0,17.0,12.0,36.0,0.19,0.47,0.33
70960448,0.0,0.0,1.0,1.0,0.0,0.0,1.0
71355776,0.0,1.0,0.0,1.0,0.0,1.0,0.0
71678720,3.0,4.0,1.0,8.0,0.38,0.5,0.12
71767808,0.0,3.0,1.0,4.0,0.0,0.75,0.25
72805312,0.0,2.0,0.0,2.0,0.0,1.0,0.0
73217344,0.0,2.0,1.0,3.0,0.0,0.67,0.33
74188032,0.0,0.0,1.0,1.0,0.0,0.0,1.0
74470144,0.0,1.0,0.0,1.0,0.0,1.0,0.0
74562944,0.0,1.0,6.0,7.0,0.0,0.14,0.86
74824640,0.0,1.0,0.0,1.0,0.0,1.0,0.0
75381440,0.0,3.0,0.0,3.0,0.0,1.0,0.0
75596736,0.0,0.0,2.0,2.0,0.0,0.0,1.0
78872576,0.0,1.0,1.0,2.0,0.0,0.5,0.5
79401536,1.0,0.0,2.0,3.0,0.33,0.0,0.67
79451648,5.0,15.0,7.0,27.0,0.19,0.56,0.26
80810240,0.0,2.0,0.0,2.0,0.0,1.0,0.0
81376320,9.0,17.0,6.0,32.0,0.28,0.53,0.19
81704832,0.0,7.0,1.0,8.0,0.0,0.88,0.12
82428672,0.0,1.0,0.0,1.0,0.0,1.0,0.0
82805440,0.0,1.0,0.0,1.0,0.0,1.0,0.0
83642496,0.0,0.0,1.0,1.0,0.0,0.0,1.0
85413120,4.0,6.0,0.0,10.0,0.4,0.6,0.0
85849280,0.0,4.0,4.0,8.0,0.0,0.5,0.5
86983296,32.0,45.0,129.0,206.0,0.16,0.22,0.63
86990720,1.0,0.0,3.0,4.0,0.25,0.0,0.75
87592064,0.0,1.0,0.0,1.0,0.0,1.0,0.0
88759488,17.0,5.0,1.0,23.0,0.74,0.22,0.04
89023040,16.0,7.0,0.0,23.0,0.7,0.3,0.0
89913920,3.0,6.0,18.0,27.0,0.11,0.22,0.67
90910592,2.0,6.0,0.0,8.0,0.25,0.75,0.0
91287360,0.0,2.0,0.0,2.0,0.0,1.0,0.0
91422848,1.0,0.0,0.0,1.0,1.0,0.0,0.0
91992640,0.0,1.0,0.0,1.0,0.0,1.0,0.0
94266240,0.0,1.0,0.0,1.0,0.0,1.0,0.0
96847936,0.0,1.0,0.0,1.0,0.0,1.0,0.0
97120768,0.0,2.0,2.0,4.0,0.0,0.5,0.5
97128192,0.0,3.0,0.0,3.0,0.0,1.0,0.0
97553216,0.0,5.0,0.0,5.0,0.0,1.0,0.0
99661632,1.0,3.0,2.0,6.0,0.17,0.5,0.33
99912192,0.0,2.0,0.0,2.0,0.0,1.0,0.0
100548800,0.0,2.0,0.0,2.0,0.0,1.0,0.0
101554752,1.0,1.0,0.0,2.0,0.5,0.5,0.0
104683968,9.0,7.0,1.0,17.0,0.53,0.41,0.06
104754496,2.0,13.0,10.0,25.0,0.08,0.52,0.4
105071872,0.0,1.0,1.0,2.0,0.0,0.5,0.5
105634240,6.0,2.0,0.0,8.0,0.75,0.25,0.0
106760832,0.0,0.0,1.0,1.0,0.0,0.0,1.0
106972416,1.0,0.0,0.0,1.0,1.0,0.0,0.0
107657280,0.0,3.0,0.0,3.0,0.0,1.0,0.0
108184384,1.0,1.0,0.0,2.0,0.5,0.5,0.0
108405248,0.0,0.0,2.0,2.0,0.0,0.0,1.0
110010688,4.0,27.0,10.0,41.0,0.1,0.66,0.24
111920512,1.0,0.0,0.0,1.0,1.0,0.0,0.0
112570112,1.0,0.0,1.0,2.0,0.5,0.0,0.5
112766848,0.0,0.0,2.0,2.0,0.0,0.0,1.0
112800256,1.0,1.0,1.0,3.0,0.33,0.33,0.33
115001472,0.0,10.0,15.0,25.0,0.0,0.4,0.6
115920192,0.0,1.0,1.0,2.0,0.0,0.5,0.5
116120640,1.0,15.0,16.0,32.0,0.03,0.47,0.5
116434304,0.0,1.0,0.0,1.0,0.0,1.0,0.0
116974400,14.0,7.0,2.0,23.0,0.61,0.3,0.09
117004096,15.0,8.0,3.0,26.0,0.58,0.31,0.12
