회원번호,오전,오후,저녁,총방문수,오전방문율,오후방문율,저녁방문율
19391488,0.0,1.0,0.0,1.0,0.0,1.0,0.0
19627200,0.0,0.0,1.0,1.0,0.0,0.0,1.0
19996544,11.0,6.0,3.0,20.0,0.55,0.3,0.15
20636864,10.0,2.0,2.0,14.0,0.71,0.14,0.14
21982464,3.0,9.0,1.0,13.0,0.23,0.69,0.08
22945728,0.0,1.0,0.0,1.0,0.0,1.0,0.0
22990272,0.0,6.0,5.0,11.0,0.0,0.55,0.45
24883392,49.0,25.0,2.0,76.0,0.64,0.33,0.03
25679616,0.0,1.0,0.0,1.0,0.0,1.0,0.0
27387136,3.0,5.0,2.0,10.0,0.3,0.5,0.2
29868608,0.0,2.0,0.0,2.0,0.0,1.0,0.0
37188672,6.0,11.0,4.0,21.0,0.29,0.52,0.19
37253632,0.0,1.0,0.0,1.0,0.0,1.0,0.0
37415104,1.0,0.0,0.0,1.0,1.0,0.0,0.0
37584000,0.0,0.0,1.0,1.0,0.0,0.0,1.0
38270720,0.0,1.0,1.0,2.0,0.0,0.5,0.5
38588096,2.0,4.0,0.0,6.0,0.33,0.67,0.0
38862784,0.0,5.0,0.0,5.0,0.0,1.0,0.0
38866496,0.0,1.0,0.0,1.0,0.0,1.0,0.0
38933312,2.0,3.0,3.0,8.0,0.25,0.38,0.38
38955584,0.0,4.0,2.0,6.0,0.0,0.67,0.33
39287808,0.0,1.0,0.0,1.0,0.0,1.0,0.0
39382464,35.0,27.0,0.0,62.0,0.56,0.44,0.0
39820480,14.0,5.0,1.0,20.0,0.7,0.25,0.05
41104832,3.0,1.0,1.0,5.0,0.6,0.2,0.2
41412928,1.0,0.0,0.0,1.0,1.0,0.0,0.0
41739584,1.0,0.0,0.0,1.0,1.0,0.0,0.0
41754432,0.0,1.0,0.0,1.0,0.0,1.0,0.0
42058816,0.0,0.0,4.0,4.0,0.0,0.0,1.0
42140480,2.0,2.0,0.0,4.0,0.5,0.5,0.0
42402176,0.0,2.0,0.0,2.0,0.0,1.0,0.0
42955264,1.0,10.0,3.0,14.0,0.07,0.71,0.21
43426688,27.0,37.0,11.0,75.0,0.36,0.49,0.15
43924096,0.0,1.0,0.0,1.0,0.0,1.0,0.0
44666496,0.0,1.0,0.0,1.0,0.0,1.0,0.0
45364352,4.0,3.0,0.0,7.0,0.57,0.43,0.0
46348032,0.0,2.0,0.0,2.0,0.0,1.0,0.0
46487232,1.0,15.0,27.0,43.0,0.02,0.35,0.63
48296832,1.0,0.0,1.0,2.0,0.5,0.0,0.5
48638336,17.0,13.0,7.0,37.0,0.46,0.35,0.19
49083776,11.0,8.0,1.0,20.0,0.55,0.4,0.05
49178432,0.0,8.0,2.0,10.0,0.0,0.8,0.2
50650240,0.0,2.0,0.0,2.0,0.0,1.0,0.0
50776448,0.0,3.0,0.0,3.0,0.0,1.0,0.0
51182912,0.0,1.0,0.0,1.0,0.0,1.0,0.0
52480256,1.0,0.0,0.0,1.0,1.0,0.0,0.0
52767936,1.0,0.0,0.0,1.0,1.0,0.0,0.0
53157696,0.0,0.0,1.0,1.0,0.0,0.0,1.0
53345152,4.0,5.0,7.0,16.0,0.25,0.31,0.44
53372992,0.0,1.0,0.0,1.0,0.0,1.0,0.0
53382272,11.0,2.0,0.0,13.0,0.85,0.15,0.0
53384128,1.0,3.0,6.0,10.0,0.1,0.3,0.6
53432384,10.0,7.0,1.0,18.0,0.56,0.39,0.06
53465792,0.0,4.0,0.0,4.0,0.0,1.0,0.0
53543744,1.0,2.0,16.0,19.0,0.05,0.11,0.84
53905664,0.0,5.0,2.0,7.0,0.0,0.71,0.29
54067136,0.0,0.0,1.0,1.0,0.0,0.0,1.0
54109824,0.0,11.0,8.0,19.0,0.0,0.58,0.42
54416064,3.0,8.0,1.0,12.0,0.25,0.67,0.08
54603520,1.0,6.0,7.0,14.0,0.07,0.43,0.5
54612800,1.0,0.0,0.0,1.0,1.0,0.0,0.0
54911616,2.0,8.0,4.0,14.0,0.14,0.57,0.29
54954304,0.0,1.0,0.0,1.0,0.0,1.0,0.0
55204864,5.0,3.0,1.0,9.0,0.56,0.33,0.11
55455424,4.0,0.0,3.0,7.0,0.57,0.0,0.43
55835904,1.0,3.0,0.0,4.0,0.25,0.75,0.0
56507776,0.0,4.0,1.0,5.0,0.0,0.8,0.2
56511488,0.0,0.0,1.0,1.0,0.0,0.0,1.0
56646976,5.0,7.0,5.0,17.0,0.29,0.41,0.29
56648832,0.0,10.0,0.0,10.0,0.0,1.0,0.0
57250176,0.0,3.0,0.0,3.0,0.0,1.0,0.0
57272448,4.0,3.0,2.0,9.0,0.44,0.33,0.22
57281728,0.0,1.0,0.0,1.0,0.0,1.0,0.0
57331840,37.0,8.0,2.0,47.0,0.79,0.17,0.04
58480704,0.0,1.0,2.0,3.0,0.0,0.33,0.67
58560512,3.0,11.0,8.0,22.0,0.14,0.5,0.36
59755776,0.0,3.0,1.0,4.0,0.0,0.75,0.25
60275456,1.0,1.0,0.0,2.0,0.5,0.5,0.0
60312576,5.0,20.0,12.0,37.0,0.14,0.54,0.32
60314432,0.0,2.0,0.0,2.0,0.0,1.0,0.0
60654080,5.0,6.0,2.0,13.0,0.38,0.46,0.15
60802560,0.0,1.0,0.0,1.0,0.0,1.0,0.0
60912064,0.0,2.0,12.0,14.0,0.0,0.14,0.86
60956608,1.0,1.0,1.0,3.0,0.33,0.33,0.33
60984448,0.0,1.0,0.0,1.0,0.0,1.0,0.0
61223872,8.0,12.0,8.0,28.0,0.29,0.43,0.29
61442880,1.0,3.0,0.0,4.0,0.25,0.75,0.0
61546816,0.0,2.0,0.0,2.0,0.0,1.0,0.0
61548672,5.0,0.0,0.0,5.0,1.0,0.0,0.0
62012672,5.0,3.0,2.0,10.0,0.5,0.3,0.2
62343040,0.0,1.0,0.0,1.0,0.0,1.0,0.0
62716096,0.0,1.0,0.0,1.0,0.0,1.0,0.0
63553152,0.0,1.0,0.0,1.0,0.0,1.0,0.0
64004160,0.0,1.0,0.0,1.0,0.0,1.0,0.0
64861632,0.0,2.0,0.0,2.0,0.0,1.0,0.0
