회원번호,오전,오후,저녁,총방문수,오전방문율,오후방문율,저녁방문율
18613824,0.0,1.0,0.0,1.0,0.0,1.0,0.0
18792000,0.0,1.0,0.0,1.0,0.0,1.0,0.0
18942336,0.0,0.0,2.0,2.0,0.0,0.0,1.0
18949760,0.0,1.0,0.0,1.0,0.0,1.0,0.0
19627200,12.0,26.0,23.0,61.0,0.2,0.43,0.38
19727424,0.0,3.0,3.0,6.0,0.0,0.5,0.5
20588608,0.0,3.0,2.0,5.0,0.0,0.6,0.4
20636864,13.0,8.0,0.0,21.0,0.62,0.38,0.0
20993216,0.0,1.0,0.0,1.0,0.0,1.0,0.0
21134272,3.0,1.0,1.0,5.0,0.6,0.2,0.2
21457216,1.0,0.0,0.0,1.0,1.0,0.0,0.0
22112384,0.0,1.0,0.0,1.0,0.0,1.0,0.0
22270144,104.0,22.0,7.0,133.0,0.78,0.17,0.05
23437568,2.0,6.0,6.0,14.0,0.14,0.43,0.43
23485824,2.0,0.0,0.0,2.0,1.0,0.0,0.0
25145088,1.0,0.0,0.0,1.0,1.0,0.0,0.0
26110208,0.0,1.0,0.0,1.0,0.0,1.0,0.0
29701568,0.0,0.0,1.0,1.0,0.0,0.0,1.0
30215680,0.0,7.0,2.0,9.0,0.0,0.78,0.22
31691200,0.0,1.0,0.0,1.0,0.0,1.0,0.0
37415104,2.0,0.0,1.0,3.0,0.67,0.0,0.33
37584000,14.0,19.0,8.0,41.0,0.34,0.46,0.2
38588096,14.0,29.0,3.0,46.0,0.3,0.63,0.07
38842368,0.0,2.0,0.0,2.0,0.0,1.0,0.0
38859072,1.0,1.0,0.0,2.0,0.5,0.5,0.0
38862784,0.0,16.0,2.0,18.0,0.0,0.89,0.11
38903616,0.0,6.0,0.0,6.0,0.0,1.0,0.0
38918464,51.0,21.0,0.0,72.0,0.71,0.29,0.0
38959296,98.0,58.0,42.0,198.0,0.49,0.29,0.21
38968576,3.0,1.0,0.0,4.0,0.75,0.25,0.0
