회원번호,오전,오후,저녁,총방문수,오전방문율,오후방문율,저녁방문율
18764160,0.0,3.0,3.0,6.0,0.0,0.5,0.5
18942336,2.0,6.0,2.0,10.0,0.2,0.6,0.2
19996544,2.0,7.0,1.0,10.0,0.2,0.7,0.1
20588608,0.0,1.0,0.0,1.0,0.0,1.0,0.0
21982464,2.0,10.0,1.0,13.0,0.15,0.77,0.08
25145088,0.0,1.0,0.0,1.0,0.0,1.0,0.0
26676288,1.0,1.0,0.0,2.0,0.5,0.5,0.0
27066048,3.0,10.0,2.0,15.0,0.2,0.67,0.13
28871936,1.0,3.0,0.0,4.0,0.25,0.75,0.0
37992320,0.0,1.0,0.0,1.0,0.0,1.0,0.0
38588096,26.0,10.0,2.0,38.0,0.68,0.26,0.05
38842368,0.0,1.0,2.0,3.0,0.0,0.33,0.67
38903616,3.0,3.0,0.0,6.0,0.5,0.5,0.0
39053952,2.0,11.0,2.0,15.0,0.13,0.73,0.13
39640448,1.0,2.0,0.0,3.0,0.33,0.67,0.0
39653440,5.0,19.0,12.0,36.0,0.14,0.53,0.33
41104832,15.0,19.0,6.0,40.0,0.38,0.48,0.15
41396224,0.0,1.0,0.0,1.0,0.0,1.0,0.0
41600384,3.0,10.0,1.0,14.0,0.21,0.71,0.07
41754432,15.0,12.0,6.0,33.0,0.45,0.36,0.18
42058816,1.0,2.0,0.0,3.0,0.33,0.67,0.0
42307520,0.0,12.0,8.0,20.0,0.0,0.6,0.4
44317568,0.0,1.0,0.0,1.0,0.0,1.0,0.0
44486464,1.0,2.0,6.0,9.0,0.11,0.22,0.67
45364352,1.0,2.0,0.0,3.0,0.33,0.67,0.0
45520256,0.0,3.0,3.0,6.0,0.0,0.5,0.5
46568896,5.0,12.0,9.0,26.0,0.19,0.46,0.35
50776448,0.0,3.0,2.0,5.0,0.0,0.6,0.4
51574528,0.0,3.0,2.0,5.0,0.0,0.6,0.4
52515520,2.0,1.0,1.0,4.0,0.5,0.25,0.25
52519232,0.0,0.0,1.0,1.0,0.0,0.0,1.0
52558208,18.0,15.0,6.0,39.0,0.46,0.38,0.15
52606464,3.0,4.0,1.0,8.0,0.38,0.5,0.12
52903424,0.0,1.0,0.0,1.0,0.0,1.0,0.0
52953536,3.0,8.0,5.0,16.0,0.19,0.5,0.31
53165120,6.0,12.0,3.0,21.0,0.29,0.57,0.14
53844416,14.0,44.0,45.0,103.0,0.14,0.43,0.44
53848128,2.0,4.0,3.0,9.0,0.22,0.44,0.33
53874112,5.0,3.0,0.0,8.0,0.62,0.38,0.0
54605376,0.0,2.0,0.0,2.0,0.0,1.0,0.0
55535232,0.0,1.0,0.0,1.0,0.0,1.0,0.0
55548224,1.0,1.0,2.0,4.0,0.25,0.25,0.5
55947264,0.0,3.0,0.0,3.0,0.0,1.0,0.0
56567168,0.0,1.0,0.0,1.0,0.0,1.0,0.0
56576448,0.0,1.0,1.0,2.0,0.0,0.5,0.5
57331840,0.0,1.0,0.0,1.0,0.0,1.0,0.0
57424640,0.0,1.0,0.0,1.0,0.0,1.0,0.0
57471040,0.0,0.0,2.0,2.0,0.0,0.0,1.0
58068672,0.0,3.0,4.0,7.0,0.0,0.43,0.57
58256128,0.0,1.0,0.0,1.0,0.0,1.0,0.0
58805504,0.0,1.0,0.0,1.0,0.0,1.0,0.0
59759488,7.0,18.0,10.0,35.0,0.2,0.51,0.29
59774336,103.0,54.0,33.0,190.0,0.54,0.28,0.17
60277312,3.0,5.0,4.0,12.0,0.25,0.42,0.33
61201600,1.0,0.0,0.0,1.0,1.0,0.0,0.0
61220160,0.0,1.0,0.0,1.0,0.0,1.0,0.0
61424320,1.0,5.0,2.0,8.0,0.12,0.62,0.25
61452160,0.0,2.0,0.0,2.0,0.0,1.0,0.0
61541248,2.0,3.0,2.0,7.0,0.29,0.43,0.29
61750976,28.0,40.0,8.0,76.0,0.37,0.53,0.11
61763968,16.0,18.0,4.0,38.0,0.42,0.47,0.11
62326336,0.0,0.0,1.0,1.0,0.0,0.0,1.0
62343040,3.0,21.0,2.0,26.0,0.12,0.81,0.08
62615872,1.0,4.0,0.0,5.0,0.2,0.8,0.0
62686400,0.0,4.0,2.0,6.0,0.0,0.67,0.33
62716096,1.0,11.0,4.0,16.0,0.06,0.69,0.25
62743936,23.0,37.0,2.0,62.0,0.37,0.6,0.03
63308160,31.0,20.0,0.0,51.0,0.61,0.39,0.0
63655232,1.0,4.0,2.0,7.0,0.14,0.57,0.29
63722048,3.0,6.0,13.0,22.0,0.14,0.27,0.59
63967040,1.0,2.0,0.0,3.0,0.33,0.67,0.0
64460736,2.0,3.0,1.0,6.0,0.33,0.5,0.17
64679744,0.0,1.0,0.0,1.0,0.0,1.0,0.0
64861632,1.0,5.0,3.0,9.0,0.11,0.56,0.33
65290368,0.0,0.0,1.0,1.0,0.0,0.0,1.0
66201664,5.0,20.0,7.0,32.0,0.16,0.62,0.22
66474496,10.0,25.0,9.0,44.0,0.23,0.57,0.2
66485632,0.0,1.0,0.0,1.0,0.0,1.0,0.0
67185344,1.0,0.0,0.0,1.0,1.0,0.0,0.0
67556544,0.0,2.0,0.0,2.0,0.0,1.0,0.0
67602944,0.0,2.0,0.0,2.0,0.0,1.0,0.0
67987136,8.0,17.0,0.0,25.0,0.32,0.68,0.0
68027968,1.0,3.0,4.0,8.0,0.12,0.38,0.5
68276672,20.0,14.0,3.0,37.0,0.54,0.38,0.08
68506816,14.0,15.0,0.0,29.0,0.48,0.52,0.0
68976384,5.0,21.0,7.0,33.0,0.15,0.64,0.21
69199104,0.0,1.0,1.0,2.0,0.0,0.5,0.5
69501632,0.0,1.0,0.0,1.0,0.0,1.0,0.0
69804160,2.0,6.0,5.0,13.0,0.15,0.46,0.38
70698752,5.0,19.0,12.0,36.0,0.14,0.53,0.33
71465280,6.0,3.0,1.0,10.0,0.6,0.3,0.1
72131584,1.0,2.0,4.0,7.0,0.14,0.29,0.57
72796032,13.0,114.0,32.0,159.0,0.08,0.72,0.2
73217344,2.0,14.0,11.0,27.0,0.07,0.52,0.41
73222912,1.0,0.0,1.0,2.0,0.5,0.0,0.5
73545856,0.0,1.0,0.0,1.0,0.0,1.0,0.0
75730368,1.0,26.0,0.0,27.0,0.04,0.96,0.0
76968320,0.0,1.0,0.0,1.0,0.0,1.0,0.0
77760832,3.0,0.0,0.0,3.0,1.0,0.0,0.0
78319488,0.0,1.0,0.0,1.0,0.0,1.0,0.0
81704832,0.0,0.0,1.0,1.0,0.0,0.0,1.0
82707072,0.0,3.0,1.0,4.0,0.0,0.75,0.25
83560832,1.0,0.0,0.0,1.0,1.0,0.0,0.0
84128768,0.0,7.0,0.0,7.0,0.0,1.0,0.0
85093888,0.0,0.0,2.0,2.0,0.0,0.0,1.0
85582016,0.0,7.0,0.0,7.0,0.0,1.0,0.0
85849280,0.0,1.0,0.0,1.0,0.0,1.0,0.0
86929472,0.0,1.0,0.0,1.0,0.0,1.0,0.0
86985152,0.0,3.0,0.0,3.0,0.0,1.0,0.0
89537152,0.0,6.0,3.0,9.0,0.0,0.67,0.33
92835264,1.0,0.0,0.0,1.0,1.0,0.0,0.0
95947776,0.0,0.0,1.0,1.0,0.0,0.0,1.0
96200192,1.0,0.0,0.0,1.0,1.0,0.0,0.0
96207616,0.0,1.0,0.0,1.0,0.0,1.0,0.0
96315264,0.0,1.0,0.0,1.0,0.0,1.0,0.0
96679040,0.0,1.0,2.0,3.0,0.0,0.33,0.67
97130048,1.0,4.0,1.0,6.0,0.17,0.67,0.17
97219136,0.0,1.0,2.0,3.0,0.0,0.33,0.67
97532800,1.0,2.0,0.0,3.0,0.33,0.67,0.0
99763712,41.0,43.0,1.0,85.0,0.48,0.51,0.01
99912192,0.0,2.0,0.0,2.0,0.0,1.0,0.0
101010944,1.0,0.0,0.0,1.0,1.0,0.0,0.0
101319040,4.0,3.0,3.0,10.0,0.4,0.3,0.3
104355456,0.0,0.0,1.0,1.0,0.0,0.0,1.0
104735936,3.0,5.0,7.0,15.0,0.2,0.33,0.47
105071872,9.0,20.0,14.0,43.0,0.21,0.47,0.33
105756736,0.0,2.0,0.0,2.0,0.0,1.0,0.0
108013632,0.0,1.0,0.0,1.0,0.0,1.0,0.0
108843264,1.0,3.0,0.0,4.0,0.25,0.75,0.0
108934208,10.0,18.0,14.0,42.0,0.24,0.43,0.33
109065984,1.0,0.0,0.0,1.0,1.0,0.0,0.0
109325824,11.0,0.0,2.0,13.0,0.85,0.0,0.15
109472448,3.0,2.0,0.0,5.0,0.6,0.4,0.0
109804672,0.0,0.0,1.0,1.0,0.0,0.0,1.0
111102016,1.0,1.0,0.0,2.0,0.5,0.5,0.0
111350720,0.0,1.0,0.0,1.0,0.0,1.0,0.0
111391552,3.0,3.0,3.0,9.0,0.33,0.33,0.33
112479168,13.0,4.0,9.0,26.0,0.5,0.15,0.35
112648064,0.0,8.0,11.0,19.0,0.0,0.42,0.58
112698176,38.0,19.0,2.0,59.0,0.64,0.32,0.03
114303616,4.0,3.0,0.0,7.0,0.57,0.43,0.0
114429824,1.0,0.0,0.0,1.0,1.0,0.0,0.0
116120640,0.0,1.0,1.0,2.0,0.0,0.5,0.5
116261696,0.0,1.0,0.0,1.0,0.0,1.0,0.0
117098752,0.0,10.0,1.0,11.0,0.0,0.91,0.09
117109888,1.0,12.0,0.0,13.0,0.08,0.92,0.0
118717184,1.0,0.0,1.0,2.0,0.5,0.0,0.5
119027136,2.0,3.0,1.0,6.0,0.33,0.5,0.17
119312960,0.0,1.0,0.0,1.0,0.0,1.0,0.0
119866048,1.0,3.0,2.0,6.0,0.17,0.5,0.33
120294784,1.0,2.0,0.0,3.0,0.33,0.67,0.0
