회원번호,조합원상태,주소,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대
1000012800,정상회원,수지구-풍덕천동,여,58.0,미신청,.,normal,50대
1000103744,정상회원,처인구-고림동,여,34.0,미신청,.,normal,30대
1000122304,정상회원,광주-기타,여,38.0,미신청,.,normal,30대
1000163136,정상회원,수지구-동천동,여,73.0,미신청,.,normal,60대이상
1000281920,정상회원,수지구-풍덕천동,여,42.0,신청,.,normal,40대
1000330176,정상회원,수지구-신봉동,여,64.0,미신청,.,normal,60대이상
1000491648,정상회원,수지구-동천동,여,37.0,미신청,.,normal,30대
1000508352,정상회원,기흥구-상하동,여,35.0,미신청,.,normal,30대
1000565888,정상회원,수지구-상현동,여,52.0,미신청,.,normal,50대
1000577024,정상회원,기타-기타,여,47.0,미신청,.,normal,40대
1000796032,정상회원,수지구-동천동,여,40.0,미신청,.,normal,40대
1000807168,정상회원,수지구-동천동,여,39.0,미신청,.,normal,30대
1001042880,정상회원,수지구-신봉동,여,42.0,미신청,.,normal,40대
1001111552,정상회원,수지구-풍덕천동,여,47.0,미신청,.,normal,40대
100134912,정상회원,수지구-성복동,여,49.0,미신청,.,normal,40대
1001440064,정상회원,수지구-동천동,여,50.0,미신청,.,normal,50대
1001592256,정상회원,수지구-성복동,여,40.0,미신청,.,normal,40대
1001595968,정상회원,수지구-동천동,여,50.0,미신청,.,normal,50대
1001677632,정상회원,수지구-동천동,여,78.0,미신청,.,normal,60대이상
1001707328,정상회원,수지구-동천동,여,42.0,미신청,.,normal,40대
1001712896,정상회원,수지구-신봉동,여,49.0,미신청,.,normal,40대
1001714752,정상회원,수지구-동천동,여,52.0,미신청,.,normal,50대
1001744448,정상회원,수지구-풍덕천동,여,46.0,미신청,.,normal,40대
1001750016,정상회원,분당구-백현동,여,44.0,미신청,.,normal,40대
1001776000,정상회원,기타-기타,남,57.0,미신청,.,normal,50대
1001982016,정상회원,수지구-상현동,여,52.0,미신청,.,normal,50대
1002102656,정상회원,수지구-동천동,여,59.0,신청,.,normal,50대
1002106368,정상회원,분당구-판교동,여,40.0,미신청,.,normal,40대
1002115648,정상회원,수지구-풍덕천동,여,61.0,미신청,.,normal,60대이상
1002182464,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,30대
100224000,정상회원,수지구-상현동,여,63.0,미신청,.,normal,60대이상
100225856,정상회원,수지구-풍덕천동,여,48.0,미신청,.,normal,40대
1003019520,정상회원,기타-기타,여,72.0,미신청,.,normal,60대이상
1003088192,정상회원,기타-기타,여,66.0,미신청,.,normal,60대이상
1004585984,정상회원,수지구-신봉동,여,61.0,미신청,.,normal,60대이상
1004617536,정상회원,수지구-죽전동,여,41.0,미신청,수신,normal,40대
1004699200,정상회원,수지구-풍덕천동,여,40.0,미신청,.,normal,40대
1004825408,정상회원,수지구-상현동,여,40.0,미신청,.,normal,40대
1004836544,정상회원,수지구-동천동,여,40.0,미신청,.,normal,40대
1005029568,정상회원,수지구-성복동,여,55.0,미신청,.,normal,50대
1005059264,정상회원,수지구-풍덕천동,여,39.0,미신청,.,normal,30대
1005142784,정상회원,수지구-동천동,여,65.0,미신청,.,normal,60대이상
1005174336,정상회원,수지구-성복동,여,37.0,미신청,.,normal,30대
1005230016,정상회원,수지구-풍덕천동,여,42.0,미신청,.,normal,40대
1005389632,정상회원,수지구-동천동,여,54.0,신청,.,normal,50대
1005393344,정상회원,수지구-죽전동,여,42.0,미신청,.,normal,40대
1005430464,정상회원,수지구-동천동,여,57.0,미신청,.,normal,50대
100548800,정상회원,수지구-동천동,여,53.0,미신청,.,normal,50대
1005500992,정상회원,수지구-동천동,여,37.0,미신청,.,normal,30대
1005616064,정상회원,수지구-상현동,여,73.0,미신청,.,normal,60대이상
1005669888,정상회원,수지구-상현동,여,63.0,미신청,수신,normal,60대이상
1005729280,정상회원,분당구-구미동,남,50.0,미신청,.,normal,50대
1005732992,정상회원,수지구-풍덕천동,여,44.0,미신청,.,normal,40대
1005924160,정상회원,수지구-풍덕천동,여,40.0,미신청,.,normal,40대
1005942720,정상회원,수지구-동천동,여,46.0,미신청,.,normal,40대
1005976128,정상회원,수지구-동천동,여,40.0,미신청,.,normal,40대
1005983552,정상회원,기흥구-동백동,여,43.0,미신청,.,normal,40대
1006050368,정상회원,수지구-동천동,여,66.0,미신청,.,normal,60대이상
1006132032,정상회원,수지구-신봉동,여,64.0,미신청,.,normal,60대이상
1006167296,정상회원,수지구-풍덕천동,여,47.0,미신청,.,normal,40대
1006213696,정상회원,수원 영통구-기타,여,45.0,미신청,.,normal,40대
1006302784,정상회원,수지구-풍덕천동,여,46.0,미신청,.,normal,40대
1006313920,정상회원,수지구-동천동,여,40.0,미신청,.,normal,40대
1006319488,정상회원,수지구-풍덕천동,여,46.0,신청,.,normal,40대
1006334336,정상회원,수지구-상현동,여,39.0,미신청,.,normal,30대
1006349184,정상회원,수지구-풍덕천동,여,41.0,미신청,.,normal,40대
1006436416,정상회원,수지구-동천동,여,45.0,미신청,.,normal,40대
1006532928,정상회원,수지구-신봉동,여,37.0,미신청,.,normal,30대
1006614592,정상회원,수지구-동천동,여,38.0,미신청,.,normal,30대
1006670272,정상회원,기타-기타,여,72.0,미신청,.,normal,60대이상
1006712960,정상회원,수지구-풍덕천동,여,46.0,미신청,.,normal,40대
1006891136,정상회원,수지구-동천동,여,47.0,미신청,.,normal,40대
1006917120,정상회원,수지구-풍덕천동,여,63.0,미신청,.,normal,60대이상
1006998784,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,30대
1007015488,정상회원,기흥구-보정동,여,54.0,신청,.,normal,50대
1007212224,정상회원,수지구-풍덕천동,여,34.0,미신청,.,normal,30대
1007219648,정상회원,수지구-성복동,여,51.0,미신청,.,normal,50대
1007247488,정상회원,수지구-상현동,여,39.0,미신청,.,normal,30대
1007314304,정상회원,수지구-동천동,여,38.0,신청,.,normal,30대
1007576000,정상회원,수지구-상현동,여,42.0,미신청,.,normal,40대
1007739328,정상회원,수지구-동천동,여,56.0,미신청,.,normal,50대
1007817280,정상회원,수지구-풍덕천동,여,48.0,미신청,수신,normal,40대
1007820992,정상회원,수지구-풍덕천동,여,48.0,미신청,수신,normal,40대
1007830272,정상회원,수지구-신봉동,여,56.0,미신청,.,normal,50대
1007880384,정상회원,수지구-상현동,여,41.0,미신청,.,normal,40대
1008056704,정상회원,수지구-상현동,여,42.0,미신청,.,normal,40대
1008080832,정상회원,수지구-동천동,여,63.0,미신청,.,normal,60대이상
1008082688,정상회원,수지구-동천동,여,46.0,미신청,.,normal,40대
1008116096,정상회원,수지구-상현동,여,62.0,미신청,.,normal,60대이상
1008201472,정상회원,수지구-풍덕천동,여,48.0,미신청,.,normal,40대
1008335104,정상회원,분당구-구미동,여,51.0,미신청,.,normal,50대
1008370368,정상회원,수지구-풍덕천동,여,50.0,미신청,.,normal,50대
1008511424,정상회원,수지구-동천동,여,46.0,미신청,수신,normal,40대
1008613504,정상회원,수지구-풍덕천동,여,39.0,미신청,.,normal,30대
1008698880,정상회원,수원 영통구-기타,여,40.0,미신청,.,normal,40대
1008719296,정상회원,수원 영통구-기타,여,44.0,미신청,.,normal,40대
1008748992,정상회원,수지구-동천동,여,52.0,미신청,.,normal,50대
1008800960,정상회원,수지구-동천동,여,49.0,미신청,.,normal,40대
1008955008,정상회원,수지구-성복동,여,42.0,신청,.,normal,40대
1009040384,정상회원,수지구-동천동,여,60.0,미신청,.,normal,60대이상
1009066368,정상회원,기흥구-보정동,여,52.0,미신청,.,normal,50대
100932992,정상회원,수지구-풍덕천동,여,50.0,미신청,.,normal,50대
1009355904,정상회원,수지구-신봉동,여,37.0,미신청,수신,normal,30대
1009381888,정상회원,수지구-풍덕천동,여,44.0,미신청,.,normal,40대
1009406016,정상회원,기흥구-청덕동,남,51.0,미신청,.,normal,50대
1009480256,정상회원,수지구-풍덕천동,여,50.0,미신청,.,normal,50대
1009495104,정상회원,수지구-동천동,여,45.0,미신청,.,normal,40대
1009508096,정상회원,수지구-동천동,여,51.0,미신청,.,normal,50대
100955264,정상회원,수지구-풍덕천동,여,85.0,미신청,.,normal,60대이상
1009565632,정상회원,서울 강남구-기타,여,67.0,미신청,.,normal,60대이상
1009641728,정상회원,수지구-풍덕천동,여,44.0,미신청,.,normal,40대
1009671424,정상회원,기흥구-보정동,여,38.0,미신청,.,normal,30대
1009959104,정상회원,수지구-동천동,여,30.0,미신청,.,normal,30대
1010090880,정상회원,수지구-풍덕천동,여,42.0,미신청,수신,normal,40대
101010944,정상회원,수원 팔달구-기타,여,69.0,미신청,.,normal,60대이상
1010144704,정상회원,수지구-신봉동,남,77.0,미신청,.,normal,60대이상
1010334016,정상회원,기타-기타,여,61.0,미신청,.,normal,60대이상
101035072,정상회원,수지구-성복동,여,46.0,미신청,.,normal,40대
1010391552,정상회원,수지구-풍덕천동,여,42.0,신청,.,normal,40대
