회원번호,조합원상태,주소,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대,구매금액
1000012800,정상회원,수지구-풍덕천동,여,58.0,미신청,.,normal,50대,7658.0
1000103744,정상회원,처인구-고림동,여,34.0,미신청,.,normal,30대,36948.0
1000122304,정상회원,광주-기타,여,38.0,미신청,.,normal,30대,142831.0
1000163136,정상회원,수지구-동천동,여,73.0,미신청,.,normal,60대이상,138892.0
1000281920,정상회원,수지구-풍덕천동,여,42.0,신청,.,normal,40대,632554.0
1000330176,정상회원,수지구-신봉동,여,64.0,미신청,.,normal,60대이상,317217.0
1000491648,정상회원,수지구-동천동,여,37.0,미신청,.,normal,30대,663152.0
1000508352,정상회원,기흥구-상하동,여,35.0,미신청,.,normal,30대,7083.0
1000565888,정상회원,수지구-상현동,여,52.0,미신청,.,normal,50대,49296.0
1000577024,정상회원,기타-기타,여,47.0,미신청,.,normal,40대,218435.0
1000796032,정상회원,수지구-동천동,여,40.0,미신청,.,normal,40대,117067.0
1000807168,정상회원,수지구-동천동,여,39.0,미신청,.,normal,30대,305634.0
1001042880,정상회원,수지구-신봉동,여,42.0,미신청,.,normal,40대,10721.0
1001111552,정상회원,수지구-풍덕천동,여,47.0,미신청,.,normal,40대,831282.0
100134912,정상회원,수지구-성복동,여,49.0,미신청,.,normal,40대,21709.0
1001440064,정상회원,수지구-동천동,여,50.0,미신청,.,normal,50대,298551.0
1001592256,정상회원,수지구-성복동,여,40.0,미신청,.,normal,40대,38288.0
1001595968,정상회원,수지구-동천동,여,50.0,미신청,.,normal,50대,56475.0
1001677632,정상회원,수지구-동천동,여,78.0,미신청,.,normal,60대이상,2967.0
1001707328,정상회원,수지구-동천동,여,42.0,미신청,.,normal,40대,13209.0
1001712896,정상회원,수지구-신봉동,여,49.0,미신청,.,normal,40대,37523.0
1001714752,정상회원,수지구-동천동,여,52.0,미신청,.,normal,50대,110844.0
1001744448,정상회원,수지구-풍덕천동,여,46.0,미신청,.,normal,40대,36565.0
1001750016,정상회원,분당구-백현동,여,44.0,미신청,.,normal,40대,3637.0
1001776000,정상회원,기타-기타,남,57.0,미신청,.,normal,50대,187413.0
1001982016,정상회원,수지구-상현동,여,52.0,미신청,.,normal,50대,22016.0
