회원번호,조합원상태,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대,구매금액,구,동,연령60이상,방문횟수,연령대_4560대
1000012800,1,0,58.0,0,0,0,50대,7658.0,수지구,풍덕천동,0,1,1
1000103744,1,0,34.0,0,0,0,30대,36948.0,처인구,고림동,0,1,0
1000122304,1,0,38.0,0,0,0,30대,142831.0,광주,기타,0,15,0
1000163136,1,0,73.0,0,0,0,70대이상,138892.0,수지구,동천동,1,4,0
1000281920,1,0,42.0,1,0,0,40대,632554.0,수지구,풍덕천동,0,28,1
1000330176,1,0,64.0,0,0,0,60대,317217.0,수지구,신봉동,1,20,1
1000491648,1,0,37.0,0,0,0,30대,663152.0,수지구,동천동,0,32,0
1000508352,1,0,35.0,0,0,0,30대,7083.0,기흥구,상하동,0,1,0
1000565888,1,0,52.0,0,0,0,50대,49296.0,수지구,상현동,0,5,1
1000577024,1,0,47.0,0,0,0,40대,218435.0,기타,기타,0,3,1
1000796032,1,0,40.0,0,0,0,40대,117067.0,수지구,동천동,0,6,1
1000807168,1,0,39.0,0,0,0,30대,305634.0,수지구,동천동,0,33,0
1001042880,1,0,42.0,0,0,0,40대,10721.0,수지구,신봉동,0,3,1
1001111552,1,0,47.0,0,0,0,40대,831282.0,수지구,풍덕천동,0,34,1
100134912,1,0,49.0,0,0,0,40대,21709.0,수지구,성복동,0,3,1
1001440064,1,0,50.0,0,0,0,50대,298551.0,수지구,동천동,0,25,1
1001592256,1,0,40.0,0,0,0,40대,38288.0,수지구,성복동,0,1,1
1001595968,1,0,50.0,0,0,0,50대,56475.0,수지구,동천동,0,4,1
1001677632,1,0,78.0,0,0,0,70대이상,2967.0,수지구,동천동,1,1,0
1001707328,1,0,42.0,0,0,0,40대,13209.0,수지구,동천동,0,2,1
1001712896,1,0,49.0,0,0,0,40대,37523.0,수지구,신봉동,0,3,1
1001714752,1,0,52.0,0,0,0,50대,110844.0,수지구,동천동,0,3,1
1001744448,1,0,46.0,0,0,0,40대,36565.0,수지구,풍덕천동,0,2,1
1001750016,1,0,44.0,0,0,0,40대,3637.0,분당구,백현동,0,1,1
1001776000,1,1,57.0,0,0,0,50대,187413.0,기타,기타,0,6,1
1001982016,1,0,52.0,0,0,0,50대,22016.0,수지구,상현동,0,2,1
1002102656,1,0,59.0,1,0,0,50대,494971.0,수지구,동천동,0,27,1
1002106368,1,0,40.0,0,0,0,40대,363546.0,분당구,판교동,0,15,1
1002115648,1,0,61.0,0,0,0,60대,35416.0,수지구,풍덕천동,1,3,1
1002182464,1,0,37.0,0,0,0,30대,26993.0,수지구,풍덕천동,0,4,0
100224000,1,0,63.0,0,0,0,60대,934712.0,수지구,상현동,1,43,1
100225856,1,0,48.0,0,0,0,40대,27185.0,수지구,풍덕천동,0,1,1
1003019520,1,0,72.0,0,0,0,70대이상,80022.0,기타,기타,1,5,0
1003088192,1,0,66.0,0,0,0,60대,13209.0,기타,기타,1,1,1
1004585984,1,0,61.0,0,0,0,60대,193547.0,수지구,신봉동,1,9,1
1004617536,1,0,41.0,0,1,0,40대,27951.0,수지구,죽전동,0,1,1
1004699200,1,0,40.0,0,0,0,40대,23930.0,수지구,풍덕천동,0,2,1
1004825408,1,0,40.0,0,0,0,40대,1209341.0,수지구,상현동,0,39,1
1004836544,1,0,40.0,0,0,0,40대,317985.0,수지구,동천동,0,17,1
1005029568,1,0,55.0,0,0,0,50대,150951.0,수지구,성복동,0,7,1
1005059264,1,0,39.0,0,0,0,30대,1471084.0,수지구,풍덕천동,0,53,0
1005142784,1,0,65.0,0,0,0,60대,220915.0,수지구,동천동,1,16,1
1005174336,1,0,37.0,0,0,0,30대,125968.0,수지구,성복동,0,1,0
1005230016,1,0,42.0,0,0,0,40대,24275.0,수지구,풍덕천동,0,3,1
1005389632,1,0,54.0,1,0,0,50대,522272.0,수지구,동천동,0,18,1
1005393344,1,0,42.0,0,0,0,40대,25270.0,수지구,죽전동,0,2,1
1005430464,1,0,57.0,0,0,0,50대,19144.0,수지구,동천동,0,1,1
100548800,1,0,53.0,0,0,0,50대,98209.0,수지구,동천동,0,2,1
1005500992,1,0,37.0,0,0,0,30대,63558.0,수지구,동천동,0,2,0
1005616064,1,0,73.0,0,0,0,70대이상,26705.0,수지구,상현동,1,3,0
1005669888,1,0,63.0,0,1,0,60대,57433.0,수지구,상현동,1,2,1
1005729280,1,1,50.0,0,0,0,50대,36564.0,분당구,구미동,0,6,1
1005732992,1,0,44.0,0,0,0,40대,62218.0,수지구,풍덕천동,0,4,1
1005924160,1,0,40.0,0,0,0,40대,191635.0,수지구,풍덕천동,0,16,1
1005942720,1,0,46.0,0,0,0,40대,29865.0,수지구,동천동,0,1,1
1005976128,1,0,40.0,0,0,0,40대,149132.0,수지구,동천동,0,11,1
1005983552,1,0,43.0,0,0,0,40대,6318.0,기흥구,동백동,0,1,1
1006050368,1,0,66.0,0,0,0,60대,67003.0,수지구,동천동,1,4,1
1006132032,1,0,64.0,0,0,0,60대,39820.0,수지구,신봉동,1,6,1
1006167296,1,0,47.0,0,0,0,40대,496730.0,수지구,풍덕천동,0,30,1
1006213696,1,0,45.0,0,0,0,40대,393889.0,수원 영통구,기타,0,13,1
1006302784,1,0,46.0,0,0,0,40대,54178.0,수지구,풍덕천동,0,3,1
1006313920,1,0,40.0,0,0,0,40대,8998.0,수지구,동천동,0,1,1
1006319488,1,0,46.0,1,0,0,40대,377240.0,수지구,풍덕천동,0,30,1
1006334336,1,0,39.0,0,0,0,30대,53316.0,수지구,상현동,0,8,0
1006349184,1,0,41.0,0,0,0,40대,123771.0,수지구,풍덕천동,0,12,1
1006436416,1,0,45.0,0,0,0,40대,15507.0,수지구,동천동,0,2,1
1006532928,1,0,37.0,0,0,0,30대,5552.0,수지구,신봉동,0,1,0
1006614592,1,0,38.0,0,0,0,30대,411124.0,수지구,동천동,0,17,0
1006670272,1,0,72.0,0,0,0,70대이상,170191.0,기타,기타,1,10,0
1006712960,1,0,46.0,0,0,0,40대,117817.0,수지구,풍덕천동,0,9,1
1006891136,1,0,47.0,0,0,0,40대,261986.0,수지구,동천동,0,12,1
1006917120,1,0,63.0,0,0,0,60대,456491.0,수지구,풍덕천동,1,34,1
1006998784,1,0,37.0,0,0,0,30대,100889.0,수지구,풍덕천동,0,12,0
1007015488,1,0,54.0,1,0,0,50대,551542.0,기흥구,보정동,0,23,1
1007212224,1,0,34.0,0,0,0,30대,1193969.0,수지구,풍덕천동,0,39,0
1007219648,1,0,51.0,0,0,0,50대,5935.0,수지구,성복동,0,1,1
1007247488,1,0,39.0,0,0,0,30대,113238.0,수지구,상현동,0,5,0
1007314304,1,0,38.0,1,0,0,30대,397528.0,수지구,동천동,0,23,0
1007576000,1,0,42.0,0,0,0,40대,10051.0,수지구,상현동,0,2,1
1007739328,1,0,56.0,0,0,0,50대,23739.0,수지구,동천동,0,1,1
1007817280,1,0,48.0,0,1,0,40대,1533023.0,수지구,풍덕천동,0,60,1
1007820992,1,0,48.0,0,1,0,40대,804440.0,수지구,풍덕천동,0,54,1
1007830272,1,0,56.0,0,0,0,50대,123000.0,수지구,신봉동,0,12,1
1007880384,1,0,41.0,0,0,0,40대,234326.0,수지구,상현동,0,8,1
1008056704,1,0,42.0,0,0,0,40대,66142.0,수지구,상현동,0,2,1
1008080832,1,0,63.0,0,0,0,60대,29290.0,수지구,동천동,1,1,1
